,url
1,https://www.thereadinglists.com/best-economics-books-for-beginners/
2,https://www.campuscareerclub.com/best-economics-books-for-beginners/
3,https://www.goodreads.com/list/show/70721.Best_Economics_Books_List_For_Beginners
10,https://fivebooks.com/best-books/introductions-economics-tim-harford/
11,https://blog.bettertrader.co/2018/08/20/what-are-some-good-books-in-economics-for-beginners/
12,https://tifwe.org/topteneconomicsbooksforb/
18,https://www.wallstreetmojo.com/top-best-economics-books/
19,https://www.topuniversities.com/courses/economics-econometrics/7-books-read-if-youre-economics-student
20,https://fupping.com/natty/2018/07/07/best-books-9-books-to-read-to-learn-basic-economics/
21,https://www.npr.org/sections/money/2011/01/11/132649042/must-read-economics
22,https://www.econlib.org/introduction-to-economics-best-books/
23,https://www.independent.co.uk/extras/indybest/books/non-fiction-books/best-economics-books-a7487521.html
27,https://www.conqueryourexam.com/best-economics-textbooks/
30,https://inomics.com/insight/top-10-best-economics-books-812929
32,http://timharford.com/2018/04/five-of-the-best-introductions-to-economics/
33,https://bookriot.com/2018/06/05/books-about-economics/
38,https://www.sociologygroup.com/best-economics-books-beginners/
39,https://www.benzinga.com/money/best-economics-books/
46,https://fee.org/articles/5-economics-books-everyone-should-read/
50,https://programs.online.american.edu/econ/masters-economics/resources/economics-reading-list-for-aspiring-economists
52,https://filmlifestyle.com/best-economics-books/
56,https://www.darkroastpress.com/best-economics-books-for-beginners/
61,http://www.listmuse.com/100-best-economics-books-time.php
62,https://fs.blog/2011/07/greg-mankiw-recommends-reading-these-18-economics-books/
63,https://foxytrades.com/best-economics-books/
65,https://medium.com/@BetterTrader.co/what-are-some-good-books-about-economics-for-beginners-c33b6461b82f
67,http://www.economicreason.com/austrianeconomics/top-6-must-read-basic-economic-books/
68,https://www.learn4good.com/bookstore/economics_books_cds.htm
94,https://fintrakk.com/best-economics-books-of-all-time-top-list/
