,url
0,https://www.thereadinglists.com/best-economics-books-for-beginners/
2,https://www.topuniversities.com/courses/economics-econometrics/7-books-read-if-youre-economics-student
9,https://www.npr.org/sections/money/2011/01/11/132649042/must-read-economics
10,https://www.intelligenteconomist.com/best-economics-books/
11,https://bookriot.com/2018/06/05/books-about-economics/
12,https://www.wallstreetmojo.com/top-best-economics-books/
13,https://fupping.com/natty/2018/07/07/best-books-9-books-to-read-to-learn-basic-economics/
14,https://www.campuscareerclub.com/best-economics-books-for-beginners/
15,https://programs.online.american.edu/econ/masters-economics/resources/economics-reading-list-for-aspiring-economists
17,https://fee.org/articles/5-economics-books-everyone-should-read/
18,https://www.independent.co.uk/extras/indybest/books/non-fiction-books/best-economics-books-a7487521.html
19,https://filmlifestyle.com/best-economics-books/
21,https://www.benzinga.com/money/best-economics-books/
22,https://inomics.com/insight/top-10-best-economics-books-812929
26,https://tifwe.org/topteneconomicsbooksforb/
31,https://www.econlib.org/five-books-to-supplement-teaching-undergraduate-economics/
44,https://vocal.media/trader/10-must-read-economics-books
53,https://www.conqueryourexam.com/best-economics-textbooks/
56,https://foreignpolicy.com/2009/07/27/the-top-ten-books-to-read-about-international-economic-history/
62,https://www.learn4good.com/bookstore/economics_books_cds.htm
87,http://www.listmuse.com/100-best-economics-books-time.php
88,https://www.superprof.co.in/blog/us-economists-list/
93,https://www.tutor2u.net/economics/blog/recommended-reading-for-alevel-economists
